# tauT corr(C=1,no_cons) err raw_corr err corr(C=5) err
1.388888888888888951e-01 1.080798439137437894e+00 1.437764331570810968e-02 1.096451447462429396e+00 1.439335898937032371e-02 1.081170060681298395e+00 1.436447062195994086e-02
1.666666666666666574e-01 1.053179917974189195e+00 1.455157933383396419e-02 1.045011328604178447e+00 1.739205572449102968e-02 1.053233773756234948e+00 1.452003459559210626e-02
1.944444444444444475e-01 1.017282043990122675e+00 1.475002042060514357e-02 1.004703939328863260e+00 2.196616345255526445e-02 1.016959020615111786e+00 1.479461228509919811e-02
2.222222222222222099e-01 9.719842358102285251e-01 1.878797960458054167e-02 9.542563427665767817e-01 2.461830746934012479e-02 9.713192546457258825e-01 1.913319859443455076e-02
2.500000000000000000e-01 9.195287268260370350e-01 2.251637364291447785e-02 9.056759993331248149e-01 2.628277878209135318e-02 9.188388428238767336e-01 2.260500449576612059e-02
2.777777777777777901e-01 8.609443283504262245e-01 2.736370935530176018e-02 8.588870239541632756e-01 2.749171366803180444e-02 8.603986678846152758e-01 2.724874326544782233e-02
3.055555555555555802e-01 7.988951561835599957e-01 3.184302489995793906e-02 8.006910935482585145e-01 2.858599835391094357e-02 7.987098106365900785e-01 3.178704536988737062e-02
3.333333333333333148e-01 7.349281665583784484e-01 3.402540097668021318e-02 7.535714317326996925e-01 3.294605216682962995e-02 7.350486078412694635e-01 3.396818343348469160e-02
3.611111111111111049e-01 6.735893307795907115e-01 3.791610970480380205e-02 6.943314996313593168e-01 3.407099257336232423e-02 6.738466584970181916e-01 3.756816715444671884e-02
3.888888888888888951e-01 6.155978563506275814e-01 3.854559269249158843e-02 6.345691878635290051e-01 3.715557413992702507e-02 6.162381719456699880e-01 3.845065334259347573e-02
4.166666666666666852e-01 5.656772271472474412e-01 4.080098165096106289e-02 5.698470393558335845e-01 4.155302656078386364e-02 5.660072719165336608e-01 4.068848856328462216e-02
4.444444444444444198e-01 5.278337934164439860e-01 4.635429883129947581e-02 5.197095779535171323e-01 4.545861530492460029e-02 5.281089521537574161e-01 4.666151904977345471e-02
4.722222222222222099e-01 5.027453609958228986e-01 5.002792223687609757e-02 4.794152144663638149e-01 4.716502016555439852e-02 5.027450141848572862e-01 4.987491079099091312e-02
5.000000000000000000e-01 4.939057707589273871e-01 5.073289767898078034e-02 4.771293813419147378e-01 5.170381132924285056e-02 4.939476761620580914e-01 5.091392276992730281e-02
