# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
9.999999999999999124e-05 2.312586564051413163e+00 7.171779190831417683e-01 6.691407241998610367e-01 8.888946806156939884e-01 2.765213657888951904e-01 2.527987037210418508e-01
1.018471720112120935e-04 2.312586563189173994e+00 7.171779188157447749e-01 6.691407239503739390e-01 8.888946806024372593e-01 2.765213657847713780e-01 2.527987037172715334e-01
1.037284644668142597e-04 2.312586562294785431e+00 7.171779185383773125e-01 6.691407236915853929e-01 8.888946805886860369e-01 2.765213657804934666e-01 2.527987037133608839e-01
1.056445076301053434e-04 2.312586561367049764e+00 7.171779182506681227e-01 6.691407234231481205e-01 8.888946805744222246e-01 2.765213657760562382e-01 2.527987037093042400e-01
1.075959434064314822e-04 2.312586560404724878e+00 7.171779179522324021e-01 6.691407231447019655e-01 8.888946805596265044e-01 2.765213657714534756e-01 2.527987037050964947e-01
1.095834255582346992e-04 2.312586559406520248e+00 7.171779176426702485e-01 6.691407228558738929e-01 8.888946805442792254e-01 2.765213657666791836e-01 2.527987037007315418e-01
1.116076199240738571e-04 2.312586558371096945e+00 7.171779173215653280e-01 6.691407225562771011e-01 8.888946805283597374e-01 2.765213657617269227e-01 2.527987036962040523e-01
1.136692046416912190e-04 2.312586557297069412e+00 7.171779169884888727e-01 6.691407222455088011e-01 8.888946805118467243e-01 2.765213657565900318e-01 2.527987036915080310e-01
1.157688703751999526e-04 2.312586556182996134e+00 7.171779166429932406e-01 6.691407219231555459e-01 8.888946804947178704e-01 2.765213657512615164e-01 2.527987036866367054e-01
1.179073205464670768e-04 2.312586555027384527e+00 7.171779162846150246e-01 6.691407215887834603e-01 8.888946804769506382e-01 2.765213657457343821e-01 2.527987036815837474e-01
1.200852715707715533e-04 2.312586553828688274e+00 7.171779159128763848e-01 6.691407212419426820e-01 8.888946804585207140e-01 2.765213657400011904e-01 2.527987036763421624e-01
1.223034530968148802e-04 2.312586552585297106e+00 7.171779155272766104e-01 6.691407208821713581e-01 8.888946804394035617e-01 2.765213657340540587e-01 2.527987036709054003e-01
1.245626082511651648e-04 2.312586551295548354e+00 7.171779151273010022e-01 6.691407205089854315e-01 8.888946804195738682e-01 2.765213657278854376e-01 2.527987036652659114e-01
1.268634938872164784e-04 2.312586549957710513e+00 7.171779147124113241e-01 6.691407201218861900e-01 8.888946803990047663e-01 2.765213657214866672e-01 2.527987036594161463e-01
1.292068808387468947e-04 2.312586548569992129e+00 7.171779142820529085e-01 6.691407197203531609e-01 8.888946803776687222e-01 2.765213657148493098e-01 2.527987036533481113e-01
1.315935541781604182e-04 2.312586547130532910e+00 7.171779138356486616e-01 6.691407193038498846e-01 8.888946803555372034e-01 2.765213657079647058e-01 2.527987036470541460e-01
1.340243134794986285e-04 2.312586545637404178e+00 7.171779133726001731e-01 6.691407188718176968e-01 8.888946803325805668e-01 2.765213657008230852e-01 2.527987036405250354e-01
1.364999730863110958e-04 2.312586544088604867e+00 7.171779128922877167e-01 6.691407184236761729e-01 8.888946803087678372e-01 2.765213656934152331e-01 2.527987036337531190e-01
1.390213623844733365e-04 2.312586542482058860e+00 7.171779123940664746e-01 6.691407179588266807e-01 8.888946802840672623e-01 2.765213656857312685e-01 2.527987036267284049e-01
1.415893260800450888e-04 2.312586540815614100e+00 7.171779118772700912e-01 6.691407174766448307e-01 8.888946802584458684e-01 2.765213656777608664e-01 2.527987036194416781e-01
1.442047244822595206e-04 2.312586539087035487e+00 7.171779113412042328e-01 6.691407169764853613e-01 8.888946802318691276e-01 2.765213656694932576e-01 2.527987036118835018e-01
1.468684337917413555e-04 2.312586537294007982e+00 7.171779107851514734e-01 6.691407164576776978e-01 8.888946802043015127e-01 2.765213656609173398e-01 2.527987036040434399e-01
