# tauT corr(C=1,no_cons) err raw_corr err corr(C=5) err
1.388888888888888951e-01 7.779283929387154295e+00 3.130889070346419278e-01 8.282952455548524995e+00 2.672915701431755608e-01 7.759008043607157568e+00 3.120146775118065596e-01
1.666666666666666574e-01 8.775164208682413758e+00 3.434470342038092316e-01 8.677252408375130344e+00 3.800110681070703600e-01 8.762098792845366191e+00 3.494729386203342947e-01
1.944444444444444475e-01 9.700002875791621904e+00 3.790231544595066282e-01 9.456008647406397571e+00 5.045924103920944592e-01 9.710678096213939625e+00 3.759260011319208172e-01
2.222222222222222099e-01 1.058836073310122039e+01 4.055037084966014449e-01 9.894992030383710002e+00 5.854280962498553675e-01 1.062292074944696729e+01 4.063218353123412840e-01
2.500000000000000000e-01 1.151100496023619257e+01 4.467449313738037220e-01 1.135139612519694019e+01 7.519280438512301323e-01 1.155265190252677421e+01 4.644984449355462619e-01
2.777777777777777901e-01 1.246294396269825988e+01 5.443421225335094427e-01 1.206252315414612220e+01 8.427376893593707674e-01 1.253438507993841711e+01 5.730198155281716055e-01
3.055555555555555802e-01 1.352353602478080852e+01 7.184566521445353571e-01 1.314195292553644734e+01 1.077379995130195667e+00 1.360720428181456576e+01 7.627186965253476281e-01
3.333333333333333148e-01 1.474005401572427054e+01 9.720705835465428546e-01 1.392128730728976471e+01 1.288487751767220635e+00 1.481738322587845147e+01 1.004080042072436951e+00
3.611111111111111049e-01 1.615313322631164183e+01 1.264003262829256791e+00 1.516722273545472532e+01 1.500952716575120416e+00 1.617416525730110877e+01 1.313520644548973992e+00
3.888888888888888951e-01 1.772259280364676215e+01 1.660283133538953626e+00 1.791921562714630412e+01 1.854103038882533028e+00 1.768228301752074927e+01 1.692409802901380322e+00
4.166666666666666852e-01 1.934675617111805934e+01 2.178256733764424080e+00 1.982826050599900469e+01 2.160390029765657527e+00 1.920980327716103986e+01 2.182712892337274280e+00
4.444444444444444198e-01 2.084092177942704893e+01 2.672909444551859970e+00 2.190828793628223536e+01 2.461705285805261045e+00 2.060538062715811947e+01 2.639094811365345628e+00
4.722222222222222099e-01 2.195537528890248069e+01 2.960226210791276458e+00 2.280241564028914425e+01 2.732140439125790188e+00 2.163027638973433753e+01 2.949842263262951292e+00
5.000000000000000000e-01 2.236467531208579018e+01 3.087832386466641044e+00 2.432417937702415500e+01 2.916477029300706292e+00 2.200696886346367975e+01 3.067041919488938895e+00
