# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
9.999999999999999124e-05 3.659685277998577568e+00 1.518459308799808394e+00 1.612074136097798593e+00 1.331515341395109964e+00 5.513273464232284482e-01 5.768948922430330306e-01
1.123324032978027678e-04 3.659686541279782546e+00 1.518459305156538264e+00 1.612074084075127978e+00 1.331516569429721963e+00 5.513273170300567738e-01 5.768948549920274171e-01
1.261856883066021025e-04 3.659687959135882629e+00 1.518459300513161470e+00 1.612074025047906645e+00 1.331517948975006416e+00 5.513272840019989296e-01 5.768948131361686382e-01
1.417474162926804591e-04 3.659689550310550210e+00 1.518459294602107601e+00 1.612073957998101825e+00 1.331519498732590012e+00 5.513272468881709187e-01 5.768947661047163500e-01
1.592282793341092296e-04 3.659691335757396580e+00 1.518459287085039300e+00 1.612073881742430714e+00 1.331521239697423864e+00 5.513272051818154385e-01 5.768947132563242430e-01
1.788649529057435297e-04 3.659693338940682938e+00 1.518459277534239593e+00 1.612073794899531176e+00 1.331523195490064371e+00 5.513271583120773478e-01 5.768946538686754444e-01
2.009233002565047864e-04 3.659695586060767170e+00 1.518459265409103587e+00 1.612073695854313371e+00 1.331525392627324278e+00 5.513271056371770173e-01 5.768945871299024919e-01
2.257019719633919052e-04 3.659698106375817606e+00 1.518459250026468421e+00 1.612073582711576858e+00 1.331527860899745175e+00 5.513270464349370181e-01 5.768945121266733089e-01
2.535364493970111472e-04 3.659700932564923459e+00 1.518459230523172554e+00 1.612073453239104115e+00 1.331530633806551567e+00 5.513269798918170039e-01 5.768944278304084516e-01
2.848035868435801633e-04 3.659704101037216439e+00 1.518459205808766921e+00 1.612073304801435292e+00 1.331533748960652019e+00 5.513269050925095893e-01 5.768943330842493111e-01
3.199267137797384393e-04 3.659707652361475105e+00 1.518459174505855103e+00 1.612073134274828234e+00 1.331537248637844506e+00 5.513268210059060204e-01 5.768942265854517526e-01
3.593813663804625697e-04 3.659711631693486122e+00 1.518459134874780680e+00 1.612072937944249329e+00 1.331541180359111509e+00 5.513267264700273396e-01 5.768941068665285332e-01
4.037017258596553842e-04 3.659716089183103982e+00 1.518459084718561503e+00 1.612072711378365497e+00 1.331545597497807432e+00 5.513266201760588237e-01 5.768939722753145816e-01
4.534878508128581853e-04 3.659721080501279644e+00 1.518459021262930086e+00 1.612072449271292562e+00 1.331550560058754940e+00 5.513265006478949015e-01 5.768938209494192115e-01
5.094138014816380119e-04 3.659726667317093618e+00 1.518458941004915630e+00 1.612072145249971999e+00 1.331556135479923242e+00 5.513263662206613347e-01 5.768936507894875110e-01
5.722367659350219510e-04 3.659732917783590889e+00 1.518458839521742210e+00 1.612071791635455664e+00 1.331562399531988738e+00 5.513262150162896447e-01 5.768934594288475104e-01
6.428073117284319269e-04 3.659739907106906998e+00 1.518458711229681235e+00 1.612071379143347194e+00 1.331569437411051382e+00 5.513260449137088459e-01 5.768932441964953473e-01
7.220809018385463849e-04 3.659747718006880035e+00 1.518458549079685582e+00 1.612070896515466423e+00 1.331577344868952961e+00 5.513258535171651209e-01 5.768930020779166057e-01
8.111308307896872294e-04 3.659756441183629860e+00 1.518458344173293284e+00 1.612070330059362178e+00 1.331586229528948895e+00 5.513256381188933464e-01 5.768927296689922990e-01
9.111627561154886628e-04 3.659766175769894492e+00 1.518458085277925917e+00 1.612069663072386749e+00 1.331596212414229097e+00 5.513253956551528168e-01 5.768924231218282017e-01
1.023531021899026696e-03 3.659777029582184760e+00 1.518457758215173925e+00 1.612068875126952072e+00 1.331607429568258283e+00 5.513251226581236120e-01 5.768920780857327291e-01
1.149756995397735633e-03 3.659789119291913639e+00 1.518457345088876753e+00 1.612067941174100572e+00 1.331620033958697435e+00 5.513248151985626899e-01 5.768916896370073211e-01
1.291549665014883998e-03 3.659802570377324038e+00 1.518456823310997628e+00 1.612066830422284269e+00 1.331634197625105820e+00 5.513244688195328980e-01 5.768912521980607000e-01
1.450828778495940165e-03 3.659817516681886040e+00 1.518456164372332218e+00 1.612065504936834870e+00 1.331650114021381892e+00 5.513240784615588419e-01 5.768907594464796063e-01
1.629750834620643336e-03 3.659834099630527415e+00 1.518455332291274829e+00 1.612063917881239927e+00 1.331668000752956660e+00 5.513236383734045898e-01 5.768902042069083969e-01
1.830738280295367802e-03 3.659852466816286398e+00 1.518454281656299365e+00 1.612062011313842635e+00 1.331688102621179537e+00 5.513231420092751245e-01 5.768895783270167055e-01
2.056512308348651223e-03 3.659872769754825228e+00 1.518452955155765061e+00 1.612059713424988772e+00 1.331710695018933244e+00 5.513225819097457014e-01 5.768888725344960555e-01
2.310129700083157853e-03 3.659895160681768012e+00 1.518451280460857422e+00 1.612056935064645202e+00 1.331736087858999440e+00 5.513219495600295561e-01 5.768880762673997964e-01
2.595024211399737154e-03 3.659919787889008180e+00 1.518449166292240360e+00 1.612053565384234499e+00 1.331764629930245469e+00 5.513212352254800441e-01 5.768871774782529105e-01
2.915053062825175966e-03 3.659946789251546484e+00 1.518446497456743760e+00 1.612049466359539274e+00 1.331796713826471690e+00 5.513204277575884937e-01 5.768861624040673153e-01
3.274549162877728094e-03 3.659976283468297176e+00 1.518443128584480384e+00 1.612044465901876222e+00 1.331832781595010617e+00 5.513195143628160100e-01 5.768850152934190678e-01
3.678379771828634275e-03 3.660008358140062867e+00 1.518438876226157586e+00 1.612038349198505749e+00 1.331873331024738816e+00 5.513184803309499893e-01 5.768837180874908377e-01
4.132012400115334105e-03 3.660043053933772939e+00 1.518433508881475547e+00 1.612030847815947965e+00 1.331918922814992801e+00 5.513173087106167936e-01 5.768822500407757570e-01
4.641588833612781545e-03 3.660080343684010806e+00 1.518426734417178903e+00 1.612021625985541107e+00 1.331970188735378091e+00 5.513159799209977896e-01 5.768805872693014702e-01
5.214008287999684008e-03 3.660120104838077371e+00 1.518418184191799192e+00 1.612010263344145766e+00 1.332027840775856786e+00 5.513144712892519284e-01 5.768787022152670474e-01
5.857020818056667653e-03 3.660162083569205915e+00 1.518407393025690055e+00 1.611996233200349682e+00 1.332092681609492679e+00 5.513127564926890711e-01 5.768765630043022341e-01
6.579332246575681983e-03 3.660205848122877637e+00 1.518393773929925583e+00 1.611978875165818170e+00 1.332165616463551139e+00 5.513108048866764976e-01 5.768741326747366394e-01
7.390722033525774781e-03 3.660250728340676218e+00 1.518376586224045699e+00 1.611957360687986451e+00 1.332247666534174257e+00 5.513085806939335143e-01 5.768713682524422293e-01
8.302175681319742123e-03 3.660295737740744570e+00 1.518354895315455977e+00 1.611930649629882417e+00 1.332339984338374084e+00 5.513060420191768785e-01 5.768682196311267774e-01
9.326033468832199691e-03 3.660339473214808237e+00 1.518327521963204418e+00 1.611897435573976800e+00 1.332443871136926639e+00 5.513031396523081495e-01 5.768646282184604068e-01
1.047615752789665157e-02 3.659797290778399770e+00 1.518292825877375130e+00 1.611877959552890260e+00 1.331998487332719527e+00 5.513132465930410397e-01 5.768775526951357424e-01
1.176811952434997886e-02 3.660295828967618181e+00 1.518249355964688352e+00 1.611808971087414388e+00 1.332577788862543411e+00 5.512987394147446096e-01 5.768593012394485076e-01
1.321941148466028622e-02 3.660397895550366432e+00 1.518194368889397516e+00 1.611741713327045300e+00 1.332800197185330049e+00 5.512925812431173078e-01 5.768516711485627280e-01
1.484968262254464898e-02 3.660412709654777608e+00 1.518124958951283521e+00 1.611661130619129523e+00 1.332970839997297485e+00 5.512874380202322788e-01 5.768453741422792103e-01
1.668100537200058880e-02 3.660395345571709314e+00 1.518037373175590510e+00 1.611560811327256815e+00 1.333151350232607557e+00 5.512817796222013733e-01 5.768384825148893391e-01
1.873817422860383011e-02 3.660346006672170027e+00 1.517926859716713484e+00 1.611435269405188109e+00 1.333352627028893123e+00 5.512752725362970452e-01 5.768305887674864962e-01
2.104904144512019515e-02 3.660254359898048815e+00 1.517787422831151645e+00 1.611277983595121643e+00 1.333578197089468453e+00 5.512677401819162659e-01 5.768214883659334991e-01
2.364489412645407254e-02 3.660105842562058953e+00 1.517611501403583141e+00 1.611080788055846647e+00 1.333831028530813478e+00 5.512589951427522283e-01 5.768109680998245725e-01
2.656087782946686682e-02 3.659881563369800528e+00 1.517389562295150540e+00 1.610833407285600760e+00 1.334114351080560645e+00 5.512488132467699975e-01 5.767987745466935934e-01
2.983647240283340135e-02 3.659557213480608695e+00 1.517109588719472324e+00 1.610522907499276180e+00 1.334431756703815974e+00 5.512369231771645506e-01 5.767846025726397485e-01
3.351602650938840383e-02 3.659101606519905125e+00 1.516756437428131488e+00 1.610133010803892262e+00 1.334787237276079175e+00 5.512229954976552992e-01 5.767680835278023999e-01
3.764935806792467365e-02 3.658474843047421210e+00 1.516311032027019223e+00 1.609643234667736955e+00 1.335185228471863272e+00 5.512066288939128089e-01 5.767487704641736102e-01
4.229242874389498724e-02 3.657625995867928026e+00 1.515749352129049488e+00 1.609027814150455704e+00 1.335630650427828359e+00 5.511873331681579335e-01 5.767261199329452026e-01
4.750810162102798301e-02 3.656490207369798906e+00 1.515041169031851265e+00 1.608254354162848454e+00 1.336128950937845117e+00 5.511645079816571702e-01 5.766994692685465385e-01
5.336699231206307181e-02 3.654985061691029991e+00 1.514148468109628443e+00 1.607282147994980370e+00 1.336686153036940272e+00 5.511374162072992799e-01 5.766680081457928875e-01
5.994842503189409116e-02 3.653006062087771788e+00 1.513023486247110583e+00 1.606060085903984636e+00 1.337308904016871747e+00 5.511051505855687482e-01 5.766307430418582403e-01
6.734150657750820335e-02 3.650421015840795036e+00 1.511606279845659095e+00 1.604524063859865457e+00 1.338004524318500366e+00 5.510665919869872642e-01 5.765864528147297552e-01
7.564633275546289726e-02 3.647063102081101071e+00 1.509821726149810139e+00 1.602593788832056276e+00 1.338781056961566573e+00 5.510203570833086539e-01 5.765336330686881006e-01
8.497534359086438005e-02 3.642722370805010712e+00 1.507575849708716387e+00 1.600168865420250164e+00 1.339647315765487345e+00 5.509647327258223592e-01 5.764704264559696867e-01
9.545484566618336886e-02 3.637135406109229585e+00 1.504751359938635513e+00 1.597124042467552130e+00 1.340612927738716653e+00 5.508975936951773233e-01 5.763945354071835503e-01
1.072267222010323123e-01 3.629972909185172902e+00 1.501202290396203232e+00 1.593303502795405890e+00 1.341688374225818547e+00 5.508162993898191306e-01 5.763031125755311290e-01
1.204503540258782396e-01 3.620825002609012078e+00 1.496747654126846072e+00 1.588514104844918950e+00 1.342885023141213718e+00 5.507175642207005062e-01 5.761926234950043302e-01
1.353047774579806128e-01 3.609184201198920583e+00 1.491164085555438668e+00 1.582517544248277730e+00 1.344215152221162723e+00 5.505972949434754238e-01 5.760586742884996614e-01
1.519911082952933035e-01 3.594426246896897048e+00 1.484177547232265137e+00 1.575021518141543453e+00 1.345691956581849258e+00 5.504503866456417205e-01 5.758957956927408528e-01
1.707352647470690432e-01 3.575789458830911371e+00 1.475454366335508638e+00 1.565670172970445861e+00 1.347329540993652541e+00 5.503071008009818854e-01 5.756971722798747138e-01
1.917910261672488847e-01 3.552353961419830064e+00 1.464592166035850518e+00 1.554034435700677896e+00 1.349142892865273335e+00 5.502051270181141929e-01 5.754543032480237130e-01
2.154434690031884481e-01 3.523023237902261684e+00 1.451111710713045344e+00 1.539603310566992178e+00 1.351147835117295193e+00 5.500682056376023921e-01 5.751565778796263739e-01
2.420128264794381145e-01 3.486511991293698820e+00 1.434451327686201427e+00 1.521777907482849912e+00 1.353360960907939337e+00 5.498862719025549017e-01 5.747907449190330365e-01
2.718588242732939975e-01 3.441346303562450082e+00 1.413966412974017484e+00 1.499870866211442610e+00 1.355799551711568185e+00 5.496465644224288738e-01 5.743402507730288598e-01
3.053855508833415167e-01 3.385884463680141732e+00 1.388937522550387271e+00 1.473114896219796410e+00 1.358481496197935678e+00 5.493329389390989581e-01 5.737844160570872987e-01
3.430469286314918875e-01 3.318279887073914303e+00 1.358502258657961592e+00 1.440774437352855486e+00 1.361425238160153040e+00 5.489250199954697207e-01 5.730974144484213273e-01
3.853528593710527361e-01 3.236422598487216362e+00 1.321540407139772055e+00 1.402341357411510003e+00 1.364649805239357860e+00 5.484385214806067887e-01 5.722470119579561310e-01
4.328761281083056689e-01 3.139004538024675384e+00 1.277611854393829516e+00 1.356685212164296495e+00 1.368175008329344911e+00 5.480992817870640188e-01 5.711930193586349791e-01
4.862601580065353812e-01 3.024706258357933386e+00 1.225824084427601379e+00 1.303168166016472007e+00 1.372021958100121619e+00 5.471127491822596056e-01 5.698854069254726262e-01
5.462277217684342601e-01 2.892809901788336191e+00 1.166060937243193596e+00 1.241409887400667600e+00 1.376214141050212003e+00 5.457297843702414442e-01 5.687303240009338179e-01
6.135907273413169216e-01 2.744107056723759097e+00 1.098919302376386353e+00 1.170796495432782525e+00 1.380655678362324501e+00 5.441862656008186194e-01 5.674629273968918586e-01
6.892612104349694624e-01 2.579743677229692889e+00 1.024659876130588065e+00 1.092020789913609402e+00 1.385469283567710708e+00 5.422243885785051898e-01 5.658498331259240732e-01
7.742636826811268858e-01 2.402105975546771965e+00 9.439825666822749817e-01 1.006451937711371869e+00 1.390713849406166158e+00 5.397593267279729989e-01 5.637874949541867853e-01
8.697490026177834288e-01 2.215100461531776865e+00 8.607250394571970276e-01 9.158795770247669665e-01 1.396457382717986917e+00 5.364066725377816258e-01 5.611675138395597617e-01
9.770099572992246850e-01 2.023294634045347706e+00 7.727851011155109084e-01 8.230988543180428607e-01 1.402806642202015563e+00 5.322304184845435548e-01 5.578608336063757278e-01
1.097498765493056805e+00 1.835495938563788787e+00 6.856355145301775700e-01 7.277664229774924998e-01 1.409281206868406633e+00 5.264031513030846821e-01 5.543299081485095758e-01
1.232846739442065909e+00 1.655126953596688377e+00 5.993639085732873628e-01 6.352693293528188789e-01 1.416325553689920191e+00 5.188818849947653966e-01 5.490209562935541854e-01
1.384886371393871718e+00 1.485454087778725452e+00 5.196773594987447176e-01 5.497914462281077164e-01 1.425466022549388256e+00 5.105102506646282956e-01 5.416314211398445266e-01
1.555676143930472266e+00 1.336853765400403127e+00 4.456908488676248892e-01 4.689104478555783384e-01 1.437309446033679272e+00 4.985832869247275312e-01 5.319778837424991025e-01
1.747528400007682947e+00 1.211784057523904945e+00 3.688516221750106627e-01 3.973929995897649281e-01 1.451866794853200915e+00 4.843175516012583337e-01 5.208495273887518984e-01
1.963040650040272617e+00 1.119022155576547384e+00 3.104301054736238186e-01 3.289497279999755719e-01 1.470890246014410652e+00 4.723256203361689831e-01 5.071959705244808436e-01
2.205130739903045534e+00 1.055822101110613032e+00 2.574068015109054475e-01 2.723057255938419186e-01 1.500306291343564968e+00 4.555519694842571354e-01 4.847720067292997648e-01
2.477076355991708834e+00 1.029605266835504906e+00 2.134754910851524023e-01 2.249674601033064825e-01 1.539849336940497082e+00 4.403224732512756034e-01 4.676865460921906248e-01
2.782559402207125832e+00 1.044734103868063535e+00 1.769866623823767027e-01 1.788045416129084852e-01 1.593723861837948563e+00 4.135925753914648784e-01 4.465031954260061386e-01
3.125715849688234904e+00 1.104398647480354434e+00 1.409504196647148877e-01 1.449002493370585842e-01 1.678830114361993253e+00 3.912611070988614159e-01 4.137448854192093961e-01
3.511191734215127092e+00 1.224400823969495899e+00 1.118404778695121227e-01 1.151028408543708359e-01 1.798500935189215166e+00 3.670865636589004666e-01 3.776113790022810335e-01
3.944206059437656009e+00 1.413754985219943361e+00 9.227044099350556472e-02 1.012808744697863972e-01 1.972084604174651146e+00 3.429375812050183825e-01 3.440080479069609343e-01
4.430621457583877820e+00 1.696529999311330528e+00 8.385668137814095147e-02 9.291844647116853650e-02 2.220942382371469570e+00 3.043566435994353725e-01 3.152146273114686537e-01
4.977023564332113459e+00 2.104655317251662883e+00 8.641119283291542885e-02 9.052892083112018540e-02 2.586893744872021728e+00 2.676162847160750147e-01 2.773693731617932201e-01
5.590810182512222504e+00 2.678245859223296055e+00 1.033560615690358730e-01 1.015372291889802270e-01 3.105539728976096203e+00 2.313885253205505421e-01 2.494397786067672484e-01
6.280291441834245703e+00 3.469995840701776135e+00 1.291272013306934419e-01 1.330786953731029065e-01 3.846527165669648252e+00 2.164302351515599021e-01 2.388170547792554110e-01
7.054802310718645053e+00 4.568750097437745517e+00 1.739629469339698531e-01 1.782775157496319096e-01 4.892376431971837469e+00 2.127035415022007214e-01 2.322468052671640137e-01
7.924828983539169869e+00 6.083330353604925023e+00 2.336436156900401073e-01 2.382836973304458539e-01 6.353056639968047037e+00 2.457095114828558025e-01 2.558700793581518695e-01
8.902150854450392004e+00 8.156522032684307533e+00 3.117884896569913522e-01 3.282610562372436647e-01 8.370564660405641177e+00 2.977515455575456826e-01 3.181091847163788344e-01
1.000000000000000000e+01 1.098534379374723713e+01 4.209051986745357965e-01 4.425567500741056648e-01 1.114808988837261694e+01 4.218416985878636893e-01 4.311252585540454874e-01
1.050000000000000000e+01 1.245210733944251658e+01 4.732924616098337367e-01 5.065747408223373327e-01 1.259459836212041850e+01 4.786729017711870426e-01 4.853161744352512130e-01
1.204560622914349288e+01 1.773851032465227462e+01 6.804502020406388851e-01 7.223368914890642145e-01 1.780125142209966782e+01 6.786811992420176409e-01 7.123861819976973209e-01
1.359121245828698576e+01 2.418201081088118087e+01 9.391728531366254629e-01 9.812217622358900826e-01 2.417447857480029327e+01 9.276420239702218851e-01 9.877842440180444328e-01
