# tauT corr(C=1,no_cons) err raw_corr err corr(C=5) err
1.944444444444444475e-01 1.058106984335891676e+00 2.770804236931551784e-02 1.060560606454591381e+00 2.659179573403228428e-02 1.058856214084346048e+00 2.788139971309128856e-02
2.222222222222222099e-01 1.009984742904590282e+00 2.600160418814031690e-02 1.005432238094638997e+00 2.736293133849271655e-02 1.009332525282158777e+00 2.628810592497397153e-02
2.500000000000000000e-01 9.722336255878352151e-01 2.989839364462683335e-02 9.708368157256840325e-01 3.195316636557805900e-02 9.710267902487749181e-01 3.003432426224108762e-02
2.777777777777777901e-01 9.411670196918144882e-01 3.170166340939545302e-02 9.417777371072326709e-01 3.390484607054531502e-02 9.404468990019059227e-01 3.175155259209038600e-02
3.055555555555555802e-01 9.197016075330938234e-01 3.379655215689234687e-02 9.257161138804538281e-01 3.311357838443618196e-02 9.197076473894990611e-01 3.378362447926010897e-02
3.333333333333333148e-01 9.058519896013967898e-01 3.507454152709561790e-02 9.154052840153636961e-01 3.646557807169262949e-02 9.066617021451216507e-01 3.511521846319658191e-02
3.611111111111111049e-01 8.991707669162299910e-01 3.638784037561706985e-02 9.001341455027233041e-01 3.832769605364728244e-02 9.003003987833992916e-01 3.647164803963299368e-02
3.888888888888888951e-01 8.999155856861404956e-01 3.848174385585102775e-02 8.855084011372471586e-01 3.938921892790440971e-02 9.011293181873094582e-01 3.861347413386924388e-02
4.166666666666666852e-01 9.067595524943063978e-01 4.437966793075247274e-02 8.940302752688951138e-01 4.363373571969206277e-02 9.073996706008310431e-01 4.460295060863631034e-02
4.444444444444444198e-01 9.139145800704215894e-01 4.899889071212577135e-02 8.946360872053248370e-01 4.711111037458688700e-02 9.135391618077498554e-01 4.901867878160147407e-02
4.722222222222222099e-01 9.208637348333756911e-01 5.369625822455689063e-02 9.285784680052172613e-01 5.198072374103802212e-02 9.194317521651091951e-01 5.328384265488900207e-02
5.000000000000000000e-01 9.236558082376196133e-01 5.608104905495462505e-02 9.577970312098449401e-01 5.616236335334029439e-02 9.217074302981217437e-01 5.502445922901255670e-02
