# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
9.999999999999999124e-05 3.598705799974327935e+00 1.079787418497376361e+00 1.092762693164805565e+00 1.393480044136352625e+00 4.185172805673815777e-01 4.149262248005771703e-01
1.018471720112120935e-04 3.598705798632924502e+00 1.079787418092393203e+00 1.092762692757215159e+00 1.393480044115693595e+00 4.185172805611222513e-01 4.149262247944351945e-01
1.037284644668142597e-04 3.598705797241509075e+00 1.079787417672303018e+00 1.092762692334428465e+00 1.393480044094265402e+00 4.185172805546296670e-01 4.149262247880642906e-01
1.056445076301053434e-04 3.598705795798217810e+00 1.079787417236543146e+00 1.092762691895876603e+00 1.393480044072039181e+00 4.185172805478943880e-01 4.149262247814566873e-01
1.075959434064314822e-04 3.598705794301118033e+00 1.079787416784528276e+00 1.092762691440972489e+00 1.393480044048985178e+00 4.185172805409077545e-01 4.149262247746030585e-01
1.095834255582346992e-04 3.598705792748201127e+00 1.079787416315651782e+00 1.092762690969106387e+00 1.393480044025072973e+00 4.185172805336609958e-01 4.149262247674936344e-01
1.116076199240738571e-04 3.598705791137386534e+00 1.079787415829285280e+00 1.092762690479645471e+00 1.393480044000269924e+00 4.185172805261428985e-01 4.149262247601206433e-01
1.136692046416912190e-04 3.598705789466517313e+00 1.079787415324776401e+00 1.092762689971934709e+00 1.393480043974543836e+00 4.185172805183452471e-01 4.149262247524720948e-01
1.157688703751999526e-04 3.598705787733353034e+00 1.079787414801447465e+00 1.092762689445293312e+00 1.393480043947859626e+00 4.185172805102560512e-01 4.149262247445395513e-01
1.179073205464670768e-04 3.598705785935571555e+00 1.079787414258598144e+00 1.092762688899015622e+00 1.393480043920181988e+00 4.185172805018650966e-01 4.149262247363112444e-01
1.200852715707715533e-04 3.598705784070764579e+00 1.079787413695499243e+00 1.092762688332367560e+00 1.393480043891473397e+00 4.185172804931610591e-01 4.149262247277774041e-01
1.223034530968148802e-04 3.598705782136431441e+00 1.079787413111394478e+00 1.092762687744591066e+00 1.393480043861696327e+00 4.185172804841326144e-01 4.149262247189251518e-01
1.245626082511651648e-04 3.598705780129981768e+00 1.079787412505500921e+00 1.092762687134898769e+00 1.393480043830810367e+00 4.185172804747667730e-01 4.149262247097431633e-01
1.268634938872164784e-04 3.598705778048725712e+00 1.079787411877006775e+00 1.092762686502473102e+00 1.393480043798774437e+00 4.185172804650515443e-01 4.149262247002198922e-01
1.292068808387468947e-04 3.598705775889875724e+00 1.079787411225068272e+00 1.092762685846464521e+00 1.393480043765545906e+00 4.185172804549740500e-01 4.149262246903422380e-01
1.315935541781604182e-04 3.598705773650537232e+00 1.079787410548810112e+00 1.092762685165997283e+00 1.393480043731079920e+00 4.185172804445201900e-01 4.149262246800968779e-01
1.340243134794986285e-04 3.598705771327710412e+00 1.079787409847326352e+00 1.092762684460157008e+00 1.393480043695330961e+00 4.185172804336765306e-01 4.149262246694698231e-01
1.364999730863110958e-04 3.598705768918282644e+00 1.079787409119675523e+00 1.092762683727998230e+00 1.393480043658250844e+00 4.185172804224278620e-01 4.149262246584475289e-01
1.390213623844733365e-04 3.598705766419024954e+00 1.079787408364880630e+00 1.092762682968539956e+00 1.393480043619790276e+00 4.185172804107597511e-01 4.149262246470148963e-01
1.415893260800450888e-04 3.598705763826588466e+00 1.079787407581930037e+00 1.092762682180763001e+00 1.393480043579898187e+00 4.185172803986564327e-01 4.149262246351561600e-01
1.442047244822595206e-04 3.598705761137498627e+00 1.079787406769773028e+00 1.092762681363611321e+00 1.393480043538520396e+00 4.185172803861010316e-01 4.149262246228562212e-01
1.468684337917413555e-04 3.598705758348152539e+00 1.079787405927319810e+00 1.092762680515992901e+00 1.393480043495602061e+00 4.185172803730768942e-01 4.149262246100993146e-01
1.495813463940479700e-04 3.598705755454813193e+00 1.079787405053441507e+00 1.092762679636767764e+00 1.393480043451086114e+00 4.185172803595670343e-01 4.149262245968670104e-01
1.523443711586330471e-04 3.598705752453601470e+00 1.079787404146964391e+00 1.092762678724759517e+00 1.393480043404913049e+00 4.185172803455532442e-01 4.149262245831422113e-01
1.551584337433323962e-04 3.598705749340498361e+00 1.079787403206673435e+00 1.092762677778743363e+00 1.393480043357020692e+00 4.185172803310162060e-01 4.149262245689064876e-01
1.580244769044743161e-04 3.598705746111328985e+00 1.079787402231306093e+00 1.092762676797455867e+00 1.393480043307345984e+00 4.185172803159368238e-01 4.149262245541407435e-01
1.609434608127180964e-04 3.598705742761769244e+00 1.079787401219555409e+00 1.092762675779577641e+00 1.393480043255821643e+00 4.185172803002945585e-01 4.149262245388263270e-01
1.639163633747267460e-04 3.598705739287328953e+00 1.079787400170062028e+00 1.092762674723745775e+00 1.393480043202379060e+00 4.185172802840685380e-01 4.149262245229417001e-01
1.669441805607814206e-04 3.598705735683354057e+00 1.079787399081420851e+00 1.092762673628545400e+00 1.393480043146947178e+00 4.185172802672368908e-01 4.149262245064651022e-01
1.700279267384475687e-04 3.598705731945012420e+00 1.079787397952168604e+00 1.092762672492507914e+00 1.393480043089451836e+00 4.185172802497774125e-01 4.149262244893756613e-01
1.731686350124044145e-04 3.598705728067296938e+00 1.079787396780792275e+00 1.092762671314110534e+00 1.393480043029816207e+00 4.185172802316662333e-01 4.149262244716507286e-01
1.763673575705514292e-04 3.598705724045010435e+00 1.079787395565719788e+00 1.092762670091774524e+00 1.393480042967961019e+00 4.185172802128792613e-01 4.149262244532654353e-01
1.796251660365090204e-04 3.598705719872762998e+00 1.079787394305320891e+00 1.092762668823860750e+00 1.393480042903802785e+00 4.185172801933908504e-01 4.149262244341962447e-01
1.829431518286286625e-04 3.598705715544963546e+00 1.079787392997904494e+00 1.092762667508671015e+00 1.393480042837256239e+00 4.185172801731752434e-01 4.149262244144173994e-01
